HEADER	8	14	500	53	365
BOM	0	2	52
BOM	0	3	171
BOM	0	4	130
BOM	0	5	130
BOM	0	6	11
BOM	1	1	154
BOM	2	0	16
BOM	2	1	106
BOM	2	3	77
BOM	3	0	185
BOM	3	1	43
BOM	3	6	72
BOM	4	3	104
BOM	4	4	135
BOM	4	5	51
BOM	5	2	88
BOM	5	4	73
BOM	5	5	191
BOM	5	7	12
BOM	6	0	183
BOM	6	2	186
BOM	6	3	185
BOM	7	1	130
BOM	7	3	194
BOM	7	6	172
BOM	7	7	150
BOM	8	1	192
BOM	8	2	187
BOM	8	3	123
BOM	8	5	12
BOM	9	1	100
BOM	9	3	182
BOM	9	6	170
BOM	9	7	196
BOM	10	0	100
BOM	10	1	22
BOM	10	2	37
BOM	10	4	119
BOM	10	6	179
BOM	10	7	132
BOM	11	0	58
BOM	11	1	189
BOM	11	2	195
BOM	11	4	144
BOM	11	6	98
BOM	12	0	66
BOM	12	3	114
BOM	12	4	194
BOM	12	5	165
BOM	12	7	143
BOM	13	0	121
BOM	13	3	109
BOM	13	4	159
COMBI	0	2	2	0
COMBI	0	2	3	942
COMBI	0	2	6	12823
COMBI	0	2	10	2229
COMBI	0	2	11	5977
COMBI	0	2	12	16820
COMBI	0	2	13	295
COMBI	0	3	2	942
COMBI	0	3	3	0
COMBI	0	3	6	8719
COMBI	0	3	10	19672
COMBI	0	3	11	2789
COMBI	0	3	12	15146
COMBI	0	3	13	11257
COMBI	0	6	2	12823
COMBI	0	6	3	8719
COMBI	0	6	6	0
COMBI	0	6	10	4904
COMBI	0	6	11	302
COMBI	0	6	12	19345
COMBI	0	6	13	7283
COMBI	0	10	2	2229
COMBI	0	10	3	19672
COMBI	0	10	6	4904
COMBI	0	10	10	0
COMBI	0	10	11	17652
COMBI	0	10	12	6326
COMBI	0	10	13	16120
COMBI	0	11	2	5977
COMBI	0	11	3	2789
COMBI	0	11	6	302
COMBI	0	11	10	17652
COMBI	0	11	11	0
COMBI	0	11	12	15178
COMBI	0	11	13	14165
COMBI	0	12	2	16820
COMBI	0	12	3	15146
COMBI	0	12	6	19345
COMBI	0	12	10	6326
